Price(Rs),Product Info,Variation,Custom Id,Product Number,Status,Categories
100999,E-Star EB Series Refrigerator (HRF-216 EBS/EBD),Gold/HRF-216 - 7 Cu Ft/216 Liter,,20230625075555113yIfPCyRc,inactive,Home Appliances/Refrigerators/Non Inverter Refrigerator
56999,Single Tub Washing Machine (HWM80-35),HWM80-35 - 08KG,,20230625075224753bLszteIz,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
68415,Solo Series 30L Microwave (HDL-30MX80),HDL-30MX80 - 30L,,20230625065336637GWLNkoUb,inactive,Home Appliances/Kitchen Appliances/Microwaves
83000,Microwave Grill Oven HMN-45200ESD,HMN-45200ESD - 45L,,20230621151923163leWOreAt,inactive,Home Appliances/Kitchen Appliances/Microwaves
54843,Solo Series 20L Microwave (HDL-20MXP4),HDL 20MXP4 - 20L,,20230522143125095SdjRsnvu,inactive,Home Appliances/Kitchen Appliances/Microwaves
54599,HMN-20MXP5 - 20L Solo Microwave Oven, HMN 20MXP5 - 20L,HMN-20MXP5,20230522142907377wMubsHDI,active,Home Appliances/Microwave Ovens/Solo Series
68415,Solo Series 30L Microwave (HDL-30MX80),HDL 30MX80 - 30L,,20230522142227403IjPSeiZn,inactive,Home Appliances/Kitchen Appliances/Microwaves
63290,Solo Series 25 Microwave (HDL-25MX60),HDL 25MX60 - 25L,,20230522142037962AAPnIoGK,inactive,Home Appliances/Kitchen Appliances/Microwaves
95500,FFD Safety Device 3 Burner Hob (HCC-309DGS),HCC-309DGS - Stainless Steel,,20230522122214922dDbDjDnH,active,Home Appliances/Kitchen Appliances/Hobs
87000,FFD Safety Device 3 Burner Hob (HCC-309DGG),HCC-309DGG - Glass,,20230522121947216CBdJCMnv,active,Home Appliances/Kitchen Appliances/Hobs
120000,Smart Anti Dry 3 Burner Hob (HCC-QHA9331),HCC QHA9331 - 3 Burner,,20230522120527903OHaqfVTD,active,Home Appliances/Kitchen Appliances/Hobs
120000,Smart Anti Dry 3 Burner Hob (HCC-83UD),HCC 83UD - 3 Burner,,20230522120210113PlLvwdcS,active,Home Appliances/Kitchen Appliances/Hobs
92854,FFD Safety Device 5 Burner Hob (HCC-519DGS),HCC 519DGS - Stainless Steel,,20230522115127488IAAiThTb,active,Home Appliances/Kitchen Appliances/Hobs
93817,FFD Safety Device 5 Burner Hob (HCC-519DGG),HCC 519DGG - Glass Panel ,,20230522114911105krHEMkpa,active,Home Appliances/Kitchen Appliances/Hobs
54000,FFD Safety Device 5 Burner Hob (HCC-509EGS),HCC 509EGS - Stainless Steel,,20230522113931626veDcMZyz,inactive,Home Appliances/Kitchen Appliances/Hobs
77000,FFD Safety Device 5 Burner Hob (HCC-509DGG),HCC 509DGG - Glass Panel,,20230522113515837hFVnAGom,inactive,Home Appliances/Kitchen Appliances/Hobs
68500,Glass Tempered 3 Burner Hob (HCC-830DGG),HCC 830DGG - Glass Panel,,20230522112441801OiNPTNvy,inactive,Home Appliances/Kitchen Appliances/Hobs
66000,Glass Tempered 3 Burner Hob (HCC-731DGG),HCC 731DGG - Glass Panel,,20230522112319273KCaNzPuF,inactive,Home Appliances/Kitchen Appliances/Hobs
82200,T Shape Hood (PCHT-9002),PCHT 9002 - Touch,,20230522111002188BSClPWcW,inactive,Home Appliances/Kitchen Appliances/Hoods
80500,T Shape Hood (PCHT-9001),PCHT 9001 - Button,,20230522110753664hiRcmLay,inactive,Home Appliances/Kitchen Appliances/Hoods
75500,C290T Slanted Hood With Touch,C290T - Touch,,20230522104649610ZhtRXIuz,inactive,Home Appliances/Kitchen Appliances/Hoods
74000,C290 Slanted Hood With Button,C290 - Button,,20230522104512174NzAoNSVD,inactive,Home Appliances/Kitchen Appliances/Hoods
75438,Built in Microwave Oven (HMN 25NG24),HMN 25NG24 - Black Grilling,,20230522101917363LEFwjKpF,inactive,Home Appliances/Kitchen Appliances/Built-in-Oven
71642,Built in Microwave Oven (HMN 25NG23),HMN 25NG23 - Sliver Grilling,,20230522101745570CvmcNgjZ,inactive,Home Appliances/Kitchen Appliances/Built-in-Oven
67699,Built in Microwave Oven (HDL 25UG21),HDL 25UG21 - Silver,,20230522101607351zdRGwjpm,inactive,Home Appliances/Kitchen Appliances/Built-in-Oven
63599,Built in Microwave Oven (HDL 25NG22),HDL 25NG22 - Black,,20230522101125932xkAcHSqq,inactive,Home Appliances/Kitchen Appliances/Built-in-Oven
57955,Baking Toaster Oven (HMO-4550),HMO 4550 - 45L,,20230522100100742KlxYDRtj,inactive,Home Appliances/Kitchen Appliances/Microwaves
65777,Baking Toaster Oven (HMO-6220),HMO 6220 - 60L,,20230522095737717qzTlcPjE,inactive,Home Appliances/Kitchen Appliances/Microwaves
99595,Dual Fuel Built In Oven (HWO-60S4MGX1),HWO 60S4MGX1 - Stainless Steel,,20230522095037331eFDkCdHx,inactive,Home Appliances/Kitchen Appliances/Built-in-Oven
149400,3D Wash Series Washing Machine (HWM150-1789),HWM150 1789 - 15 KG,,20230516144730331XzTscPPV,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
143100,3D Wash Series Washing Machine (HWM120-1789),HWM120 1789 - 12 KG,,20230516144205031gcxhwfvI,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
